Blocks,Run,Time_ms
1,1,0.000708
1,2,0.000291
1,3,0.000292
1,4,0.000292
1,5,0.000291
10,1,0.002958
10,2,0.003
10,3,0.002917
10,4,0.003
10,5,0.002958
100,1,0.030042
100,2,0.030125
100,3,0.03025
100,4,0.030041
100,5,0.030208
1000,1,0.309792
1000,2,0.301708
1000,3,0.308167
1000,4,0.306875
1000,5,0.305541
10000,1,3.03854
10000,2,2.79908
10000,3,2.70271
10000,4,2.55463
10000,5,2.41867
100000,1,21.022
100000,2,17.4784
100000,3,15.887
100000,4,14.767
100000,5,14.3
1000000,1,144.895
1000000,2,146.55
1000000,3,146.815
1000000,4,147.267
1000000,5,145.454
10000000,1,1596.82
10000000,2,1531.37
10000000,3,1494.4
10000000,4,1504.79
10000000,5,1512.93
100000000,1,15266.2
100000000,2,15287.4
100000000,3,15644.4
100000000,4,15560.6
100000000,5,15608.7
