Blocks,Run,Time_ms
1,1,0.000417
1,2,0.000292
1,3,0.000292
1,4,0.000292
1,5,0.00025
10,1,0.002791
10,2,0.00275
10,3,0.002666
10,4,0.002709
10,5,0.002625
100,1,0.026667
100,2,0.029458
100,3,0.026542
100,4,0.026792
100,5,0.026917
1000,1,0.281
1000,2,0.270375
1000,3,0.270667
1000,4,0.272875
1000,5,0.283
10000,1,2.80571
10000,2,2.69583
10000,3,2.39867
10000,4,2.53192
10000,5,2.17196
100000,1,19.2114
100000,2,16.2228
100000,3,14.585
100000,4,13.7558
100000,5,12.9322
1000000,1,131.756
1000000,2,131.385
1000000,3,133.906
1000000,4,132.953
1000000,5,134.887
10000000,1,1361.28
10000000,2,1370.93
10000000,3,1349.92
10000000,4,1419.8
10000000,5,1372.15
100000000,1,13697.9
100000000,2,13804.5
100000000,3,13864.3
100000000,4,13908.2
100000000,5,13919.7
